trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",20,0,-45.61170712828739,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",25,0,-184.79721840855663,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",30,0,-177.80033940671197,"{0: 22, 1: 0, 2: 4, 3: 0, 4: 4}",0
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,0,-130.8952080947293,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",25,0,-70.73528194860452,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",30,11,-133.9863204667319,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 2}",1
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",30,0,-134.27489860916003,"{0: 22, 1: 0, 2: 4, 3: 2, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,0,0.9389042436741672,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",20,0,-58.24852200163145,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,0,-58.69756412204499,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",25,9,-14.320374593235767,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",30,0,-137.0470197120023,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",25,0,-93.06075051904034,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,0,-80.85704623793127,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",20,0,-98.62428134244509,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,0,-132.15202005742867,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",25,0,-229.18210783926608,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,0,-89.52385832112128,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",20,0,-115.27578119105182,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,0,-126.41362961142325,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",25,0,-72.87660106867602,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,0,-154.58360251950813,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",25,3,-69.29896260584499,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",25,0,-129.08066538805974,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",20,0,-169.20345870044585,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,0,-21.705134486110737,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",30,17,-67.56133571124688,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 2}",1
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",25,0,-167.84826675499994,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",20,0,-92.47963208605644,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",30,10,-77.8789076851246,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",20,12,0.07212566594737702,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",25,0,-104.29234399976315,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",30,6,-21.236094807382702,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",30,0,-185.17595445347044,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",25,12,-40.83220466246148,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,0,-1.9184281521707298,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",25,0,-127.80838834184627,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,0,-201.79443224082755,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",20,0,-108.32694759264123,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,4,-54.079425970823124,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",20,9,-94.56808355588299,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 2}",1
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,0,-156.81400056802767,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",30,0,-122.74341463586435,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",30,0,-74.2304219904432,"{0: 25, 1: 0, 2: 2, 3: 2, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",25,0,-53.20676056637589,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
